"Constituency Name","Status","Total Electorate","Total Valid Votes","Total Invalid Votes","Registered to Postal Vote","Postal votes received","Spoiled Postal Votes","Result","First Party","majority","con","lab","ld","brexit","green","snp","pc","dup","sf","sdlp","uup","alliance","other","MP fullname","majority percent","majority rank","turnout constituency","turnout region","turnout UK","turnout 2017","turnout diff","country_name","region_name","county name","constituency type"
"Aberavon","Data received",50750,31598,82,10318,8417,328,"Lab hold","Lab",10490,6518,17008,1072,3108,450,0,2711,0,0,0,0,0,731,"Stephen Kinnock",0.3319830369,209,0.6226206897,0.6657210498,0.6731083108,0.6668002886,-0.044179599,"Wales","Wales","West Glamorgan","County"
"Aberconwy",,44699,31865,123,,,,"Con hold","Con",2034,14687,12653,1821,0,0,0,2704,0,0,0,0,0,0,"Robin Millar",0.0638317904,569,0.7128794828,0.6657210498,0.6731083108,0.7104815363,0.0023979464,"Wales","Wales","Clwyd","County"
"Aberdeen North",,62489,37413,72,,,,"SNP hold","SNP",12670,7535,4939,2846,1008,880,20205,0,0,0,0,0,0,0,"Kirsty Blackman",0.3386523401,202,0.5987133736,0.6807359681,0.6731083108,0.591614357,0.0070990166,"Scotland","Scotland","Scotland","Borough"
"Aberdeen South",,65719,45638,131,,,,"SNP gain from Con","SNP",3990,16398,3834,5018,0,0,20388,0,0,0,0,0,0,0,"Stephen Flynn",0.0874271441,533,0.6944414857,0.6807359681,0.6731083108,0.6848870143,0.0095544714,"Scotland","Scotland","Scotland","Borough"
"Airdrie and Shotts",,64011,39772,91,,,,"SNP hold","SNP",5201,7011,12728,1419,0,685,17929,0,0,0,0,0,0,0,"Neil Gray",0.1307703912,459,0.6213307088,0.6807359681,0.6731083108,0.5924297696,0.0289009392,"Scotland","Scotland","Scotland","County"
"Aldershot","Data received",72617,47932,251,11668,9809,252,"Con hold","Con",16698,27980,11282,6920,0,1750,0,0,0,0,0,0,0,0,"Leo Docherty",0.3483685221,187,0.6600658248,0.7020660823,0.6731083108,0.6423463027,0.0177195221,"England","South East","Hampshire","Borough"
"Aldridge-Brownhills","Data received",60138,39342,152,8563,7327,116,"Con hold","Con",19836,27850,8014,2371,0,771,0,0,0,0,0,0,0,336,"Wendy Morton",0.5041939912,37,0.6541953507,0.6466253903,0.6731083108,0.6665507016,-0.0123553509,"England","West Midlands","West Midlands","Borough"
"Altrincham and Sale West",,73107,54763,173,,,,"Con hold","Con",6139,26311,20172,6036,0,1566,0,0,0,0,0,0,0,678,"Graham Brady",0.1121012362,488,0.7490801154,0.6562356075,0.6731083108,0.7209187993,0.0281613161,"England","North West","Greater Manchester","Borough"
"Alyn and Deeside",,62789,43008,121,,,,"Lab hold","Lab",213,18058,18271,2548,2678,0,0,1453,0,0,0,0,0,0,"Mark Tami",0.004952567,644,0.6849607415,0.6657210498,0.6731083108,0.7103296145,-0.025368873,"Wales","Wales","Clwyd","County"
"Amber Valley",,69976,45567,151,,,,"Con hold","Con",16886,29096,12210,2873,0,1388,0,0,0,0,0,0,0,0,"Nigel Mills",0.370575197,157,0.6511804047,0.671701752,0.6731083108,0.6730478219,-0.0218674172,"England","East Midlands","Derbyshire","County"
"Angus",,63952,43170,92,,,,"SNP gain from Con","SNP",3795,17421,2051,2482,0,0,21216,0,0,0,0,0,0,0,"Dave Doogan",0.0879082696,530,0.6750375281,0.6807359681,0.6731083108,0.6295739348,0.0454635933,"Scotland","Scotland","Scotland","County"
"Arfon","Data received",42215,29074,92,7469,6369,110,"PC hold","PC",2781,4428,10353,0,1159,0,0,13134,0,0,0,0,0,0,"Hywel Williams",0.095652473,521,0.6887125429,0.6657210498,0.6731083108,0.6818961975,0.0068163455,"Wales","Wales","Gwynedd","County"
"Argyll and Bute",,66525,48050,142,,,,"SNP hold","SNP",4110,16930,3248,6832,0,0,21040,0,0,0,0,0,0,0,"Brendan O'Hara",0.0855359001,537,0.7222848553,0.6807359681,0.6731083108,0.7149933066,0.0072915488,"Scotland","Scotland","Scotland","County"
"Arundel and South Downs",,81726,61408,287,,,,"Con hold","Con",22521,35566,9722,13045,0,2519,0,0,0,0,0,0,0,556,"Andrew Griffith",0.3667437467,160,0.7513887869,0.7020660823,0.6731083108,0.7581469086,-0.0067581217,"England","South East","West Sussex","County"
"Ashfield","Refused by Ashfield Council",78204,48980,118,,,,"Con gain from Lab","Con",5733,19231,11971,1105,2501,674,0,0,0,0,0,0,0,13498,"Lee Anderson",0.1170477746,478,0.6263106746,0.671701752,0.6731083108,0.6403120037,-0.014001329,"England","East Midlands","Nottinghamshire","County"
"Ashford","response received - they've passed on to relevant dept but advised they are not obliged to provide this info",89553,60059,279,,,,"Con hold","Con",24029,37270,13241,6048,0,2638,0,0,0,0,0,0,0,862,"Damian Green",0.4000899116,126,0.6706531328,0.7020660823,0.6731083108,0.6852163365,-0.0145632037,"England","South East","Kent","County"
"Ashton-Under-Lyne","Refused by Tameside Metropolitan Borough Council",67978,38579,125,,,,"Lab hold","Lab",4263,14281,18544,1395,3151,1208,0,0,0,0,0,0,0,0,"Angela Rayner",0.1105005314,490,0.5675218453,0.6562356075,0.6731083108,0.6049033475,-0.0373815022,"England","North West","Greater Manchester","Borough"
"Aylesbury",,86665,60576,279,,,,"Con hold","Con",17373,32737,15364,10081,0,2394,0,0,0,0,0,0,0,0,"Rob Butler",0.2867967512,264,0.6989672878,0.7020660823,0.6731083108,0.712124149,-0.0131568611,"England","South East","Buckinghamshire","County"
"Ayr, Carrick and Cumnock",,71970,46592,138,,,,"SNP gain from Con","SNP",2329,17943,6219,2158,0,0,20272,0,0,0,0,0,0,0,"Allan Dorans",0.0499871223,584,0.6473808531,0.6807359681,0.6731083108,0.6488117797,-0.0014309266,"Scotland","Scotland","Scotland","County"
"Banbury",,90116,62921,355,,,,"Con hold","Con",16813,34148,17335,8831,0,2607,0,0,0,0,0,0,0,0,"Victoria Prentis",0.2672080863,286,0.6982222913,0.7020660823,0.6731083108,0.7344197366,-0.0361974453,"England","South East","Oxfordshire","County"
"Banff and Buchan",,66655,42260,96,,,,"Con hold","Con",4118,21182,1734,2280,0,0,17064,0,0,0,0,0,0,0,"David Duguid",0.0974443919,515,0.6340109519,0.6807359681,0.6731083108,0.6160115975,0.0179993545,"Scotland","Scotland","Scotland","County"
"Barking",,77953,44499,120,,,,"Lab hold","Lab",15427,11792,27219,1482,3186,820,0,0,0,0,0,0,0,0,"Margaret Hodge",0.3466819479,192,0.5708439701,0.6746963605,0.6731083108,0.6190309262,-0.0481869561,"England","London","London","Borough"
"Barnsley Central","Data received",65277,36903,105,11181,8622,105,"Lab hold","Lab",3571,7892,14804,1176,11233,900,0,0,0,0,0,0,0,898,"Daniel Jarvis",0.0967672005,518,0.565329289,0.6434715273,0.6731083108,0.6087938446,-0.0434645556,"England","Yorkshire and The Humber","South Yorkshire","Borough"
"Barnsley East","Data received",69504,38070,110,11701,9474,110,"Lab hold","Lab",3217,10377,14329,1330,11112,922,0,0,0,0,0,0,0,0,"Stephanie Peacock",0.0845022327,538,0.5477382597,0.6434715273,0.6731083108,0.5891293669,-0.0413911072,"England","Yorkshire and The Humber","South Yorkshire","County"
"Barrow and Furness",,70158,46046,92,,,,"Con gain from Lab Coop","Con",5789,23876,18087,2025,1355,703,0,0,0,0,0,0,0,0,"Simon Fell",0.125722104,464,0.6563185952,0.6562356075,0.6731083108,0.6850044621,-0.0286858669,"England","North West","Cumbria","County"
"Basildon and Billericay","Data received",69906,44128,185,8524,7062,153,"Con hold","Con",20412,29590,9178,3741,0,1395,0,0,0,0,0,0,0,224,"John Baron",0.4625634518,60,0.6312476754,0.682459959,0.6731083108,0.649582785,-0.0183351096,"England","East","Essex","Borough"
"Basingstoke","FOI request sent to Basingstoke and Deane Borough Council. Awaiting response.",82928,54713,244,,,,"Con hold","Con",14198,29593,15395,6841,0,2138,0,0,0,0,0,0,0,746,"Maria Miller",0.2594995705,296,0.6597650974,0.7020660823,0.6731083108,0.683480916,-0.0237158186,"England","South East","Hampshire","Borough"
"Bassetlaw",,80024,50841,211,,,,"Con gain from Lab","Con",14013,28078,14065,3332,5366,0,0,0,0,0,0,0,0,0,"Brendan Clarke-Smith",0.2756240042,276,0.6353219034,0.671701752,0.6731083108,0.6652661064,-0.029944203,"England","East Midlands","Nottinghamshire","County"
"Bath","FOI request sent to Bath and North East Somerset Council. Awaiting response.",67805,52138,192,,,,"LD hold","LD",12322,16097,6639,28419,642,0,0,0,0,0,0,0,0,341,"Wera Hobhouse",0.2363343435,329,0.7689403436,0.7201911041,0.6731083108,0.7425050166,0.026435327,"England","South West","Avon","Borough"
"Batley and Spen",,79558,52927,104,,,,"Lab hold","Lab",3525,19069,22594,2462,1678,692,0,0,0,0,0,0,0,6432,"Tracy Brabin",0.0666011677,565,0.6652630785,0.6434715273,0.6731083108,0.6708998141,-0.0056367356,"England","Yorkshire and The Humber","West Yorkshire","Borough"
"Battersea",,79350,59977,157,,,,"Lab hold","Lab",5668,21622,27290,9150,386,1529,0,0,0,0,0,0,0,0,"Marsha De Cordova",0.0945028928,524,0.7558538122,0.6746963605,0.6731083108,0.7097481115,0.0461057007,"England","London","London","Borough"
"Beaconsfield",,77720,57868,167,,,,"Con hold","Con",15712,32477,5756,0,0,2033,0,0,0,0,0,0,0,17602,"Joy Morrissey",0.2715144812,280,0.7445702522,0.7020660823,0.6731083108,0.722718126,0.0218521262,"England","South East","Buckinghamshire","County"
"Beckenham",,68662,50555,236,,,,"Con hold","Con",14258,27282,13024,8194,0,2055,0,0,0,0,0,0,0,0,"Bob Stewart",0.2820294729,274,0.7362879031,0.6746963605,0.6731083108,0.7601030548,-0.0238151518,"England","London","London","Borough"
"Bedford","FOI request sent to Bedford Borough Council. Awaiting response.",71581,47301,140,,,,"Lab hold","Lab",145,20346,20491,4608,896,960,0,0,0,0,0,0,0,0,"Mohammad Yasin",0.0030654743,647,0.6608038446,0.682459959,0.6731083108,0.6749363071,-0.0141324625,"England","East","Bedfordshire","Borough"
"Belfast East","Found some info on EONI site. Waiting for full data.",66245,42445,169,623,,,"DUP hold","DUP",1819,0,0,0,0,0,0,0,20874,0,0,2516,19055,0,"Gavin Robinson",0.04285546,591,0.6407276021,0.617506111,0.6731083108,0.6754862588,-0.0347586567,"Northern Ireland","Northern Ireland","Northern Ireland","Borough"
"Belfast North","Found some info on EONI site. Waiting for full data.",72225,49037,388,628,,,"SF gain from DUP","SF",1943,0,0,0,0,0,0,0,21135,23078,0,0,4824,0,"John Finucane",0.0396231417,597,0.6789477328,0.617506111,0.6731083108,0.6730648068,0.005882926,"Northern Ireland","Northern Ireland","Northern Ireland","Borough"
"Belfast South","Found some info on EONI site. Waiting for full data.",69984,47352,172,885,,,"SDLP gain from DUP","SDLP",15401,0,0,0,0,0,0,0,11678,0,27079,1259,6786,550,"Claire Hanna",0.3252449738,222,0.676611797,0.617506111,0.6731083108,0.6611451479,0.0154666491,"Northern Ireland","Northern Ireland","Northern Ireland","Borough"
"Belfast West","Found some info on EONI site. Waiting for full data.",65644,38782,206,425,,,"SF hold","SF",14672,0,0,0,0,0,0,0,5220,20866,2985,0,1882,7829,"Paul Maskey",0.3783198391,150,0.590792761,0.617506111,0.6731083108,0.6509299457,-0.0601371847,"Northern Ireland","Northern Ireland","Northern Ireland","Borough"
"Bermondsey and Old Southwark",,93248,58615,276,,,,"Lab hold","Lab",16126,9678,31723,15597,1617,0,0,0,0,0,0,0,0,0,"Neil Coyle",0.2751172908,277,0.6285925704,0.6746963605,0.6731083108,0.6704818863,-0.041889316,"England","London","London","Borough"
"Berwick-Upon-Tweed",,59939,42109,178,,,,"Con hold","Con",14835,23947,9112,7656,0,1394,0,0,0,0,0,0,0,0,"Anne-Marie Trevelyan",0.3522999834,181,0.7025309064,0.6420708291,0.6731083108,0.7178057034,-0.015274797,"England","North East","Northumberland","County"
"Berwickshire, Roxburgh and Selkirk",,74518,53146,170,,,,"Con hold","Con",5148,25747,2513,4287,0,0,20599,0,0,0,0,0,0,0,"John Lamont",0.0968652392,517,0.7131968115,0.6807359681,0.6731083108,0.7154841442,-0.0022873327,"Scotland","Scotland","Scotland","County"
"Bethnal Green and Bow",,88262,60562,240,,,,"Lab hold","Lab",37524,6528,44052,5892,1081,2570,0,0,0,0,0,0,0,439,"Rushanara Ali",0.6195964466,14,0.6861616551,0.6746963605,0.6731083108,0.6950334011,-0.008871746,"England","London","London","Borough"
"Beverley and Holderness",,79696,53542,248,,,,"Con hold","Con",20448,33250,12802,4671,0,1378,0,0,0,0,0,0,0,1441,"Graham Stuart",0.3819057936,142,0.6718279462,0.6434715273,0.6731083108,0.6898099359,-0.0179819897,"England","Yorkshire and The Humber","Humberside","County"
"Bexhill and Battle",,81963,59093,352,,,,"Con hold","Con",26059,37590,11531,7280,0,2692,0,0,0,0,0,0,0,0,"Huw Merriman",0.4409828575,74,0.7209716579,0.7020660823,0.6731083108,0.7312340928,-0.0102624348,"England","South East","East Sussex","County"
"Bexleyheath and Crayford",,65466,43246,167,,,,"Con hold","Con",13103,25856,12753,2819,0,1298,0,0,0,0,0,0,0,520,"David Evennett",0.3029875595,245,0.660587175,0.6746963605,0.6731083108,0.6918625124,-0.0312753374,"England","London","London","Borough"
"Birkenhead",,63762,42329,73,,,,"Lab hold","Lab",17705,5540,24990,1620,1489,1405,0,0,0,0,0,0,0,7285,"Mick Whitley",0.4182711616,102,0.663859352,0.6562356075,0.6731083108,0.6771137026,-0.0132543507,"England","North West","Merseyside","Borough"
"Birmingham, Edgbaston",,68828,42328,149,,,,"Lab hold","Lab",5614,15603,21217,3349,1047,1112,0,0,0,0,0,0,0,0,"Preet Kaur Gill",0.1326308826,456,0.6149822747,0.6466253903,0.6731083108,0.6404958071,-0.0255135324,"England","West Midlands","West Midlands","Borough"
"Birmingham, Erdington",,66148,35229,92,,,,"Lab hold","Lab",3601,14119,17720,1301,1441,648,0,0,0,0,0,0,0,0,"Jack Dromey",0.1022169236,504,0.5325784604,0.6466253903,0.6731083108,0.5719796517,-0.0394011913,"England","West Midlands","West Midlands","Borough"
"Birmingham, Hall Green",,80283,52911,180,,,,"Lab hold","Lab",28508,7381,35889,3673,877,818,0,0,0,0,0,0,0,4273,"Tahir Ali",0.5387915556,31,0.6590560891,0.6466253903,0.6731083108,0.6938712933,-0.0348152042,"England","West Midlands","West Midlands","Borough"
"Birmingham, Hodge Hill",,78295,45003,131,,,,"Lab hold","Lab",28655,6742,35397,760,1519,328,0,0,0,0,0,0,0,257,"Liam Byrne",0.6367353288,10,0.574787662,0.6466253903,0.6731083108,0.612882771,-0.038095109,"England","West Midlands","West Midlands","Borough"
"Birmingham, Ladywood",,74912,42118,153,,,,"Lab hold","Lab",28582,4773,33355,2228,831,931,0,0,0,0,0,0,0,0,"Shabana Mahmood",0.6786172183,7,0.5622330201,0.6466253903,0.6731083108,0.5899061737,-0.0276731536,"England","West Midlands","West Midlands","Borough"
"Birmingham, Northfield",,73694,43098,140,,,,"Con gain from Lab","Con",1640,19957,18317,1961,1655,954,0,0,0,0,0,0,0,254,"Gary Sambrook",0.0380528099,599,0.5848237306,0.6466253903,0.6731083108,0.6132020685,-0.028378338,"England","West Midlands","West Midlands","Borough"
"Birmingham, Perry Barr",,72006,42147,115,,,,"Lab hold","Lab",15317,11277,26594,1901,1382,845,0,0,0,0,0,0,0,148,"Khalid Mahmood",0.3634185114,164,0.5853262228,0.6466253903,0.6731083108,0.6304310615,-0.0451048387,"England","West Midlands","West Midlands","Borough"
"Birmingham, Selly Oak",,82665,49467,160,,,,"Lab hold","Lab",12414,15300,27714,3169,1436,1848,0,0,0,0,0,0,0,0,"Stephen McCabe",0.2509551822,301,0.5984031936,0.6466253903,0.6731083108,0.6586661288,-0.0602629352,"England","West Midlands","West Midlands","Borough"
"Birmingham, Yardley",,74704,42678,107,,,,"Lab hold","Lab",10659,12720,23379,3754,2246,579,0,0,0,0,0,0,0,0,"Jess Phillips",0.2497539716,304,0.5712947098,0.6466253903,0.6731083108,0.6131356691,-0.0418409593,"England","West Midlands","West Midlands","Borough"
"Bishop Auckland",,68170,44805,131,,,,"Con gain from Lab","Con",7962,24067,16105,2133,2500,0,0,0,0,0,0,0,0,0,"Dehenna Davison",0.1777033813,400,0.657253924,0.6420708291,0.6731083108,0.6396742584,0.0175796656,"England","North East","Durham","County"
"Blackburn","FOI request sent to Blackburn with Darwen Borough Council. Awaiting response.",71234,44736,109,,,,"Lab hold","Lab",18304,10736,29040,1130,2770,741,0,0,0,0,0,0,0,319,"Kate Hollern",0.4091559371,111,0.6280147121,0.6562356075,0.6731083108,0.6724074493,-0.0443927373,"England","North West","Lancashire","Borough"
"Blackley and Broughton",,73372,38618,142,,,,"Lab hold","Lab",14402,9485,23887,1590,2736,920,0,0,0,0,0,0,0,0,"Graham Stringer",0.3729349008,155,0.5263315706,0.6562356075,0.6731083108,0.5598621036,-0.033530533,"England","North West","Greater Manchester","Borough"
"Blackpool North and Cleveleys","Data received",63692,38804,130,16769,13398,237,"Con hold","Con",8596,22364,13768,1494,0,735,0,0,0,0,0,0,0,443,"Paul Maynard",0.2215235543,340,0.6092444891,0.6562356075,0.6731083108,0.6410649241,-0.031820435,"England","North West","Lancashire","Borough"
"Blackpool South","Data received",57690,32752,86,13537,10683,200,"Con gain from Lab","Con",3690,16247,12557,1008,2009,563,0,0,0,0,0,0,0,368,"Scott Benton",0.1126648754,486,0.5677240423,0.6562356075,0.6731083108,0.5977937404,-0.0300696981,"England","North West","Lancashire","Borough"
"Blaenau Gwent","FOI request sent to Blaenau Gwent County Borough Council. Awaiting response.",50739,30219,84,,,,"Lab hold","Lab",8647,5749,14862,1285,6215,386,0,1722,0,0,0,0,0,0,"Nick Smith",0.2861444786,265,0.5955773665,0.6657210498,0.6731083108,0.6321666309,-0.0365892644,"Wales","Wales","Gwent and Mid Glamorgan","County"
"Blaydon","Data received",67853,45681,121,22957,19427,271,"Lab hold","Lab",5531,14263,19794,3703,5833,1279,0,0,0,0,0,0,0,809,"Liz Twist",0.1210787855,469,0.673234787,0.6420708291,0.6731083108,0.702376605,-0.029141818,"England","North East","Tyne and Wear","Borough"
"Blyth Valley",,64429,40859,94,,,,"Con gain from Lab","Con",712,17440,16728,2151,3394,1146,0,0,0,0,0,0,0,0,"Ian Levy",0.0174257814,625,0.6341709479,0.6420708291,0.6731083108,0.6700307498,-0.035859802,"England","North East","Northumberland","Borough"
"Bognor Regis and Littlehampton","Data received from Arun District Council",77446,51223,208,11100,9650,208,"Con hold","Con",22503,32521,10018,5645,0,1826,0,0,0,0,0,0,0,1213,"Nick Gibb",0.4393143705,76,0.6614027839,0.7020660823,0.6731083108,0.6772257903,-0.0158230064,"England","South East","West Sussex","County"
"Bolsover","Data received",74292,45938,151,9946,8382,151,"Con gain from Lab","Con",5299,21791,16492,1759,4151,758,0,0,0,0,0,0,0,987,"Mark Fletcher",0.1153511254,481,0.6183438324,0.671701752,0.6731083108,0.6335235397,-0.0151797073,"England","East Midlands","Derbyshire","County"
"Bolton North East","FOI request sent to Bolton Metropolitan Borough Council. Awaiting response.",67564,43556,112,,,,"Con gain from Lab","Con",378,19759,19381,1847,1880,689,0,0,0,0,0,0,0,0,"Mark Logan",0.0086784829,640,0.6446628382,0.6562356075,0.6731083108,0.6720360537,-0.0273732155,"England","North West","Greater Manchester","Borough"
"Bolton South East","FOI request sent to Bolton Metropolitan Borough Council. Awaiting response.",69163,40604,111,,,,"Lab hold","Lab",7598,13918,21516,1411,2968,791,0,0,0,0,0,0,0,0,"Yasmin Qureshi",0.1871244212,382,0.5870769053,0.6562356075,0.6731083108,0.6143918939,-0.0273149886,"England","North West","Greater Manchester","Borough"
"Bolton West","FOI request sent to Bolton Metropolitan Borough Council. Awaiting response.",73191,49298,163,,,,"Con hold","Con",8855,27255,18400,2704,0,939,0,0,0,0,0,0,0,0,"Chris Green",0.1796218914,394,0.6735527592,0.6562356075,0.6731083108,0.7013201093,-0.0277673501,"England","North West","Greater Manchester","County"
"Bootle",,74832,49174,149,,,,"Lab hold","Lab",34556,4510,39066,1822,2610,1166,0,0,0,0,0,0,0,0,"Peter Dowd",0.7027290845,3,0.657125294,0.6562356075,0.6731083108,0.6900867274,-0.0329614334,"England","North West","Merseyside","Borough"
"Boston and Skegness","FOI request sent to Boston Borough Council. Awaiting response.",69381,41696,175,,,,"Con hold","Con",25621,31963,6342,1963,0,0,0,0,0,0,0,0,0,1428,"Matt Warman",0.6144714121,15,0.6009714475,0.671701752,0.6731083108,0.6268676354,-0.0258961879,"England","East Midlands","Lincolnshire","County"
"Bosworth","Data received",81542,56432,234,14248,12230,189,"Con hold","Con",26278,36056,9778,9096,0,1502,0,0,0,0,0,0,0,0,"Luke Evans",0.4656577828,58,0.6920605332,0.671701752,0.6731083108,0.6878191548,0.0042413784,"England","East Midlands","Leicestershire","County"
"Bournemouth East","FOI request sent to Bournemouth, Christchurch and Poole Council. Awaiting response.",74125,49274,188,,,,"Con hold","Con",8806,24926,16120,5418,0,2049,0,0,0,0,0,0,0,761,"Tobias Ellwood",0.1787149409,397,0.6647419899,0.7201911041,0.6731083108,0.6517944524,0.0129475375,"England","South West","Dorset","Borough"
"Bournemouth West","FOI request sent to Bournemouth, Christchurch and Poole Council. Awaiting response.",74205,45977,211,,,,"Con hold","Con",10150,24550,14400,4931,0,2096,0,0,0,0,0,0,0,0,"Conor Burns",0.2207625552,341,0.619594367,0.7201911041,0.6731083108,0.6080606599,0.0115337071,"England","South West","Dorset","Borough"
"Bracknell","FOI request sent to Bracknell Forest Borough Council. Awaiting response.",78978,54350,212,,,,"Con hold","Con",19829,31894,12065,7749,0,2089,0,0,0,0,0,0,0,553,"James Sunderland",0.3648390064,162,0.6881663248,0.7020660823,0.6731083108,0.7057159813,-0.0175496565,"England","South East","Berkshire","County"
"Bradford East","FOI request sent to Bradford City Council. Awaiting response.",73206,44184,91,,,,"Lab hold","Lab",18144,9681,27825,3316,2700,662,0,0,0,0,0,0,0,0,"Imran Hussain",0.4106463878,110,0.6035570855,0.6434715273,0.6731083108,0.6481410448,-0.0445839593,"England","Yorkshire and The Humber","West Yorkshire","Borough"
"Bradford South","FOI request sent to Bradford City Council. Awaiting response.",69046,39741,87,,,,"Lab hold","Lab",2346,16044,18390,1505,2819,983,0,0,0,0,0,0,0,0,"Judith Cummins",0.0590322337,572,0.5755728065,0.6434715273,0.6731083108,0.6058714134,-0.0302986069,"England","Yorkshire and The Humber","West Yorkshire","Borough"
"Bradford West","FOI request sent to Bradford City Council. Awaiting response.",70694,44261,134,,,,"Lab hold","Lab",27019,6717,33736,1349,1556,813,0,0,0,0,0,0,0,90,"Naz Shah",0.6104471205,16,0.6260927377,0.6434715273,0.6731083108,0.6738100876,-0.0477173499,"England","Yorkshire and The Humber","West Yorkshire","Borough"
"Braintree","Data received",75208,50499,258,12758,10744,155,"Con hold","Con",24673,34112,9439,4779,0,0,0,0,0,0,0,0,0,2169,"James Cleverly",0.4885839324,43,0.6714578236,0.682459959,0.6731083108,0.694752775,-0.0232949513,"England","East","Essex","County"
"Brecon and Radnorshire",,55490,41319,110,,,,"Con hold","Con",7131,21958,3944,14827,0,0,0,0,0,0,0,0,0,590,"Fay Jones",0.1725840412,407,0.7446206524,0.6657210498,0.6731083108,0.7379753615,0.0066452908,"Wales","Wales","Powys","County"
"Brent Central","Data received",84032,49132,224,9843,7594,288,"Lab hold","Lab",20870,10909,31779,4844,0,1600,0,0,0,0,0,0,0,0,"Dawn Butler",0.424774078,93,0.5846820259,0.6746963605,0.6731083108,0.6496478217,-0.0649657958,"England","London","London","Borough"
"Brent North","Data received",83788,51879,199,12310,9918,351,"Lab hold","Lab",8079,18832,26911,4065,951,850,0,0,0,0,0,0,0,270,"Barry Gardiner",0.1557277511,431,0.6191698095,0.6746963605,0.6731083108,0.6836145191,-0.0644447096,"England","London","London","Borough"
"Brentford and Isleworth","Data received",85775,58326,145,14406,11982,448,"Lab hold","Lab",10514,18752,29266,7314,1165,1829,0,0,0,0,0,0,0,0,"Ruth Cadbury",0.1802626616,391,0.6799883416,0.6746963605,0.6731083108,0.7236508384,-0.0436624968,"England","London","London","Borough"
"Brentwood and Ongar","FOI request sent to Brentwood Borough Council. Awaiting response.",75255,52949,238,,,,"Con hold","Con",29065,36308,7243,7187,0,1679,0,0,0,0,0,0,0,532,"Alex Burghart",0.5489244367,30,0.7035944456,0.682459959,0.6731083108,0.7048370123,-0.0012425667,"England","East","Essex","County"
"Bridgend",,63303,42236,101,,,,"Con gain from Lab","Con",1157,18193,17036,2368,1811,815,0,2013,0,0,0,0,0,0,"Jamie Wallis",0.0273936926,613,0.667203766,0.6657210498,0.6731083108,0.6955857522,-0.0283819862,"Wales","Wales","Gwent and Mid Glamorgan","County"
"Bridgwater and West Somerset",,85327,57652,279,,,,"Con hold","Con",24439,35827,11388,7805,0,1877,0,0,0,0,0,0,0,755,"Ian Liddell-Grainger",0.423905502,95,0.6756595216,0.7201911041,0.6731083108,0.6525298452,0.0231296764,"England","South West","Somerset","County"
"Brigg and Goole",,65939,43402,178,,,,"Con hold","Con",21941,30941,9000,2180,0,1281,0,0,0,0,0,0,0,0,"Andrew Percy",0.5055296991,36,0.6582144103,0.6434715273,0.6731083108,0.6819688507,-0.0237544405,"England","Yorkshire and The Humber","Humberside","County"
"Brighton, Kemptown","FOI request sent to Brighton and Hove City Council. Awaiting response.",69833,48533,140,,,,"Lab hold","Lab",8061,16972,25033,2964,1327,2237,0,0,0,0,0,0,0,0,"Lloyd Russell-Moyle",0.1660931737,417,0.6949866109,0.7020660823,0.6731083108,0.7247728043,-0.0297861934,"England","South East","East Sussex","Borough"
"Brighton, Pavilion","FOI request sent to Brighton and Hove City Council. Awaiting response.",79057,57998,158,,,,"Green hold","Green",19940,10176,13211,0,770,33151,0,0,0,0,0,0,0,690,"Caroline Lucas",0.3438049588,195,0.7336225761,0.7020660823,0.6731083108,0.7642079326,-0.0305853565,"England","South East","East Sussex","Borough"
"Bristol East",,73867,52154,157,,,,"Lab hold","Lab",10794,16923,27717,3527,1881,2106,0,0,0,0,0,0,0,0,"Kerry McCarthy",0.2069639913,361,0.7060527705,0.7201911041,0.6731083108,0.7014983084,0.0045544622,"England","South West","Avon","Borough"
"Bristol North West",,76273,55885,169,,,,"Lab hold","Lab",5692,21638,27330,4940,0,1977,0,0,0,0,0,0,0,0,"Darren Jones",0.1018520175,506,0.7326970225,0.7201911041,0.6731083108,0.7171302065,0.015566816,"England","South West","Avon","Borough"
"Bristol South",,84079,55196,181,,,,"Lab hold","Lab",9859,18036,27895,4227,2325,2713,0,0,0,0,0,0,0,0,"Karin Smyth",0.1786180158,398,0.6564778363,0.7201911041,0.6731083108,0.6551101046,0.0013677318,"England","South West","Avon","Borough"
"Bristol West",,99253,75528,355,,,,"Lab hold","Lab",28219,8822,47028,0,869,18809,0,0,0,0,0,0,0,0,"Thangam Debbonaire",0.3736230272,152,0.7609644041,0.7201911041,0.6731083108,0.7699536574,-0.0089892533,"England","South West","Avon","Borough"
"Broadland","Data received",78151,56977,197,12591,10735,197,"Con hold","Con",21861,33934,12073,9195,0,1412,0,0,0,0,0,0,0,363,"Jerome Mayhew",0.3836811345,140,0.7290629678,0.682459959,0.6731083108,0.7237566918,0.0053062761,"England","East","Norfolk","County"
"Bromley and Chislehurst","FOI request sent to Bromley Borough Council. Awaiting response.",66697,45566,201,,,,"Con hold","Con",10891,23958,13067,6621,0,1546,0,0,0,0,0,0,0,374,"Robert Neill",0.2390159329,323,0.6831791535,0.6746963605,0.6731083108,0.7165870664,-0.0334079129,"England","London","London","Borough"
